Unnamed: 0,Formular,peak,omegas,mirror_ratios,rmirror
213,KAlO,602.3712692,0.286129575,1.53E-15,0.138345865
181,Bi4(TeSe)3,199.2931492,1.661870504,0.000854231,-0.678195489
224,Bi4O5,143.3843758,0.275469093,0.004519507,-0.144360902
139,LiAsSe2,178.6161929,1.35971223,0.005444763,-0.046616541
56,Tl2Te3,130.6831811,1.107913669,0.024469064,-0.120300752
127,CsGeI3,109.7266237,1.661870504,0.027777229,0.018045113
101,Zr2N2O,316.5826934,0.229053348,0.032921934,0.983458647
27,SrGaGeH,108.4551374,1.913669065,0.033457819,-0.593984962
41,NaBiS2,134.0925323,1.81294964,0.038746646,-0.711278195
206,Bi4PbS7,162.9011547,2.165467626,0.047360886,0.366917293
20,CaGaGeH,137.6228323,1.913669065,0.04952699,-0.07518797
168,Sn4TeSe3,144.8369353,1.81294964,0.060064009,-0.240601504
57,Nb3TeI7,135.6802766,1.158273381,0.064630208,0.84962406
19,CaGaSiH,150.8735753,1.77130314,0.065610442,-0.007518797
28,SrGaSiH,128.8613662,1.81294964,0.065990508,0.001503759
144,SiHgP2,142.354909,2.71942446,0.081937325,0.288721805
119,SrAlGeH,120.4992406,1.964028777,0.087983526,0.105263158
84,HfGeTe4,242.4044939,1.878098869,0.090443621,0.321804511
202,RbHgSbTe3,151.8312257,2.568345324,0.098460001,0.443609023
24,SrAlSiH,129.2757282,1.863309353,0.100541038,0.130827068
176,Sb4(TeSe)3,259.2284954,1.463851619,0.102996747,-0.012030075
131,LiGeSbTe3,138.4704064,1.762589928,0.103148557,0.870676692
80,ZrGeTe4,222.6334312,1.964028777,0.10429702,0.363909774
118,InGaP2,110.8522849,4.028776978,0.106551765,0.097744361
151,N3Cl,145.0741806,5.136690647,0.111826415,0.998496241
204,CsHgSbSe3,128.9701798,3.172661871,0.115807928,0.839097744
23,CaAlSiH,164.4821741,1.762589928,0.116080988,0.04962406
190,Al4GaSb5,141.8158549,3.676258993,0.117991355,0.445112782
165,Sn2SeS,111.7497188,1.611510791,0.120949345,0.578947368
37,CdSiAs2,119.4978461,3.424460432,0.121254144,-0.377443609
72,W2Se3S,109.098558,4.935251799,0.13972241,0.141353383
77,MoWSe3S,109.1076785,2.417266187,0.143128098,0.427067669
134,Li2ZnCdP2,111.0509192,4.129496403,0.146118032,0.908270677
38,CdSiP2,110.0689061,3.575539568,0.14820376,0.369924812
143,PbS,142.896693,2.316546763,0.148785179,0.772932331
39,ZnSiP2,114.1783388,3.625899281,0.150373378,0.652631579
47,ZnCdTe2,105.7230727,4.330935252,0.152993287,0.804511278
221,AgC4N3,111.7152588,4.582733813,0.160995463,0.914285714
61,MoW3(SeS)4,126.7567339,4.52928133,0.161064071,0.75037594
92,K2I2O3,123.6220268,0.956834532,0.170763027,0.915789474
164,SnGeSe2,119.2106274,1.661870504,0.172572943,0.962406015
138,MgSiSb2,101.0503133,3.374100719,0.180918393,0.840601504
112,AlReSi,116.6441903,3.423535013,0.184089362,0.908270677
78,MoW3(Se3S)2,102.0225556,2.517985612,0.193608298,0.711278195
90,K3NO3,106.674857,0.553956835,0.19589551,0.90075188
58,Ga5(PS)3,102.2462647,5.035971223,0.209160562,0.827067669
195,Cs2Te3,169.7503693,0.90647482,0.211530988,0.356390977
116,BaAlGeH,127.2838377,1.460431655,0.211837024,0.542857143
150,Si7Ge,105.3520814,3.877697842,0.215131539,0.076691729
0,ZrC,346.3184558,0.654676259,0.220022203,0.633082707
25,BaAlSiH,163.0312509,1.410071942,0.23245453,0.663157895
50,Te6Mo2W,113.3082792,5.136690647,0.237555579,0.92481203
18,BaGaSiH,126.3156489,1.309352518,0.245455262,0.554887218
46,BaTe3,164.5514925,2.165467626,0.246342751,0.694736842
68,Mo3W(SeS3)2,115.1108284,2.669064748,0.258612578,0.867669173
69,MoSeS,110.8760908,2.417266187,0.267720581,0.57443609
115,KYSn,161.2582702,2.064748201,0.275317708,0.703759398
66,MoWSeS3,135.0245098,2.618705036,0.277555151,0.981954887
128,TiNF,114.6873187,5.18705036,0.278958168,0.972932331
64,Mo3W(SeS)4,119.5122248,2.517985612,0.304850399,0.703759398
65,MoW3(SeS3)2,114.9622214,2.618705036,0.309243492,0.993984962
2,AlP,142.7993371,4.633093525,0.329641998,0.754887218
33,LiBeSb,138.7584014,2.971223022,0.342741289,0.652631579
35,Sn3As4,183.8747684,1.611510791,0.35211702,0.840601504
34,LiZnSb,219.9040063,2.215827338,0.361413416,0.50075188
87,Te7As5I,143.5113922,0.705035971,0.367327851,0.494736842
142,Zn3CdSe4,144.4822695,5.338129496,0.370757956,0.272180451
10,BSb,118.886113,4.73381295,0.379429937,0.682706767
26,GaAs,110.0618117,2.728246619,0.383306789,0.667669173
91,C3N4,185.5759931,4.230215827,0.383885345,0.682706767
111,LiMgSb,118.1631621,3.374100719,0.447562017,0.508270677
17,LiAlSi,247.2827851,3.214206198,0.451355677,0.141353383
48,Zn3CdS4,100.2339977,5.942446043,0.459130966,0.882706767
1,BP,141.8463942,5.992805755,0.476116753,0.727819549
13,LiGaSi,115.1449334,1.952401018,0.479527305,0.678195489
29,Ag2S,102.4777723,0.15312532,0.499819758,0.796992481
71,Te4MoW3Se4,144.7667737,2.71942446,0.501318012,0.62556391
219,Li2MgSi,275.0579078,2.611508633,0.506958254,0.87518797
3,AlSb,113.9209352,3.474820144,0.512216596,0.792481203
107,YCdB,112.3224121,0.805755396,0.519222798,0.936842105
75,WSeS,128.5999935,3.625899281,0.548632117,0.977443609
14,ZrCl2,137.6621015,1.661870504,0.549425743,0.966917293
126,Bi2TeSe2,140.9947892,1.495961262,0.558655564,0.654135338
104,LiSiB,182.0037271,4.532374101,0.563527253,0.897744361
73,TeW2Se3,106.4485859,5.589928058,0.592083637,0.996992481
96,SiC,116.7535617,6.395683453,0.595124319,0.944360902
117,Na2CaSi,128.6974153,2.153586814,0.630041957,0.977443609
49,W3(SeS2)2,121.683347,5.136690647,0.65581426,0.760902256
110,NaScSn,109.7350362,0.553956835,0.682625624,0.572932331
137,GeTe(PbSe)2,164.6191912,1.007194245,0.688288378,0.972932331
94,ZnS,201.5579652,6.294964029,0.693562271,0.911278195
60,MoW(SeS)2,130.3638157,5.138426079,0.747534525,0.882706767
59,Al6C3N2,139.7349774,0.503597122,0.75688309,0.778947368
108,LiYSi,140.5668982,0.402877698,0.771792462,0.861654135
52,MoW2(SeS2)2,111.6618389,5.135005332,0.802866015,0.718796992
7,GeTe,493.6644827,1.309352518,0.886591352,0.992481203
114,NaYSi,187.4308399,0.320820357,0.900422465,0.872180451
11,KZnSb,141.6151206,2.870503597,0.913223002,0.828571429
113,SrCaSi,101.6970197,0.553956835,0.931635754,0.95037594
197,TeMoWSe3,203.7782988,4.129496403,0.952855664,0.906766917
